,Converted book data,,,,,,,,,,,Values,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Conversion key:,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Converted values,,,,,,,,,,,,,,,
,,,,,,,,,,,,,D,,L,A,,,,,,,,,,,,
,,,,,,,,,,,,Book code,(m),,(m),(#),,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80.0,1163.0,2,1,2,3,,2,1,,,,0.2,3.0,0.1,2.5,0.24,,,,,,,,,,,,
,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100.0,1183.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
120.0,1203.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,,1,1,3,1,,1,1,U,,,0.1,3.0,0.0,5.0,0.05,,,,,,,,,,,,
140.0,1223.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,,2,1,2,1,,,,L,,,0.2,3.0,0.1,2.5,0.24,,,,,,,,,,,,
160.0,1243.0,2,1,2,1,,,,L,,,0.2,3.0,0.1,2.5,0.24,,,,,,,,,,,,
180.0,1263.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,,1,1,3,,,,,,,,0.1,3.0,0.0,5.0,0.05,,,,,,,,,,,,
,,2,2,1,1,,1,1,,,,0.2,7.5,0.2,1.5,0.35,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200.0,1283.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220.0,1303.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233.0,1316.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
240.0,1323.0,1,2,3,1,,1,1,,,,0.1,7.5,0.0,5.0,0.12,,,,,,,,,,,,
,,2,3,2,1,,,,,,,0.2,12.5,0.4,2.5,0.98,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1343.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,,2,3,2,2,,1,1,,,,0.2,12.5,0.4,2.5,0.98,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.0,1363.0,2,1,1,2,1,,,"L, U",,,0.2,3.0,0.1,1.5,0.14,,,,,,,,,,,,
,,2,2,2,1,,2,1,U,,,0.2,7.5,0.2,2.5,0.59,,,,,,,,,,,,
,,3,3,1,2,,,,,,,0.5,12.5,2.5,1.5,3.68,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.0,1383.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,,1,2,2,1,,1,1,U,,,0.1,7.5,0.0,2.5,0.06,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60.0,1403.0,2,2,5,2,,,,,JO,,0.2,7.5,0.2,15.0,3.53,,,,,,,,,,,,
,,1,1,5,2,,,,,,,0.1,3.0,0.0,15.0,0.14,,,,,,,,,,,,
,,1,1,5,2,,,,,,,0.1,3.0,0.0,15.0,0.14,,,,,,,,,,,,
,,1,1,5,2,,,,,JO,,0.1,3.0,0.0,15.0,0.14,,,,,,,,,,,,
,,2,3,3,2,,1,1,"L, U",JO,,0.2,12.5,0.4,5.0,1.96,,,,,,,,,,,,
,,3,2,1,2,,1,1,"L, U",JO,,0.5,7.5,1.5,1.5,2.21,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80.0,1423.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,,3,1,1,1,1,,,"L, U",,,0.5,3.0,0.6,1.5,0.88,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
