"","hd","tot_vol","jam","jam_pa","reach","med_dia","med_len"
"252",10314,0,NA,NA,8,NA,NA
"253",10334,0,NA,NA,8,NA,NA
"254",10374,0.515055437397905,NA,NA,8,0.267256058303247,9.18140145718826
"255",10394,0.111009996508789,NA,NA,8,0.15029379691032,6.25734492096153
"256",10414,0.0285947422806441,NA,NA,8,0.0661923291732564,8.30961645700624
"257",10434,0.166939370357207,NA,NA,8,0.134421571939154,5.8605392964919
"258",10454,0.597460994390338,NA,NA,8,0.282170331859563,9.55425829627511
"259",10474,0,NA,NA,8,NA,NA
"260",10494,0,NA,NA,8,NA,NA
"261",10514,0,NA,NA,8,NA,NA
"262",10534,0,NA,NA,8,NA,NA
"263",10554,0,NA,NA,8,NA,NA
"264",10574,0,NA,NA,8,NA,NA
"265",10594,0,NA,NA,8,NA,NA
"266",10634,0,NA,NA,8,NA,NA
"267",10654,0,NA,NA,8,NA,NA
"268",10674,1.71209005822357,NA,NA,8,0.292223281091242,6.20877281653827
"269",10694,0,NA,NA,8,NA,NA
"270",10714,0,NA,NA,8,NA,NA
"271",10734,0.0337526435661158,NA,NA,8,0.148042569804547,1.96085139464734
"272",10754,0.0226859700225846,NA,NA,8,0.0600742079251166,8.00371039429947
"273",10774,0.843201569280185,NA,NA,8,0.0739741850671777,7.42159324354061
"274",10794,0.0488126891872221,NA,NA,8,0.060588524762837,8.02942623621069
"275",10814,0.903890631416372,NA,NA,8,0.155295528357558,11.3823882072025
"276",10834,0.238017836021408,NA,NA,8,0.161985339107081,11.5496334760209
"277",10874,0.730995752607383,NA,NA,8,0.18846421824757,2.76928436389182
"278",10894,0,NA,NA,8,NA,NA
"279",10914,0,NA,NA,8,NA,NA
"280",10934,0,NA,NA,8,NA,NA
